meg78abd input data

catch.n,1,2,3,4,5,6,7,8,9,10
1984,103,13902,26005,21178,12205,12735,12410,7749,4592,4014
1985,3,1245,11708,18663,16127,17118,15659,8542,4358,3327
1986,420,5393,13719,14467,14693,13983,11366,6419,3775,3780
1987,494,4956,25076,20024,13382,14094,8382,4637,2236,2107
1988,408,7308,24218,16436,16334,11257,8511,6490,3732,4623
1989,1438,3701,20188,14282,13626,17297,14311,8806,5135,4237
1990,330,10190,18289,18418,15860,17107,9379,5453,2930,2873
1991,734,4797,34752,27438,21765,13235,6588,3406,1180,1142
1992,680,10437,49212,30951,11597,5882,5833,3601,1743,1291
1993,686,9467,26269,36077,17184,7305,4030,2758,1581,1292
1994,520,6652,22584,31307,17369,7963,3417,1916,1721,2383
1995,816,8530,18066,32023,26253,9062,3814,2317,1207,1508
1996,1240,10057,17749,17447,20700,13805,6111,3423,1632,1948
1997,718,7870,17158,21562,17146,8447,5480,3214,1579,2223
1998,998,11599,26465,29154,17617,8344,6340,3979,1814,1452
1999,577,14514,20201,24649,20352,10083,6762,4003,1888,1684
2000,363,4898,20520,25155,21220,12042,6957,3822,1802,1342
2001,4340,15870,13439,27287,15805,17115,9840,4969,1659,1036
2002,2570,12206,26582,28336,29913,15248,8331,2708,831,536
2003,10589,26207,25657,44819,23270,13913,5600,2855,808,454
2004,10926,34561,52169,40531,30208,13347,4040,1908,779,388
2005,3618,14208,29199,31455,16003,14398,5831,3309,1212,1288
2006,9252,15390,23557,37770,25028,9422,3520,1555,609,816
2007,6897,19004,23627,25654,21027,10914,4828,2183,912,799
2008,5113,19966,26295,24281,11848,6895,3686,1924,884,544
2009,6216,13350,33725,33065,13792,8130,4818,1764,892,815
2010,4475,29507,29832,26062,20770,11029,5966,2489,988,913
2011,18266,19403,19835,16989,16609,12481,5466,1709,1138,1372
2012,4261,12375,39549,25073,12352,9268,5435,2431,992,1321
2013,4343,18005,34844,22032,16832,10183,6803,2830,1000,1435
2014,4638,9431,15807,13666,14249,9300,3406,1680,747,553
2015,704,2315,17416,15400,13090,8091,4575,714,409,735
2016,8308,11979,13208,14381,10095,7408,5480,2138,1090,695
2017,8243,8380,15469,19368,12145,6211,4443,2732,777,1327
2018,1611,7146,13191,14267,8176,4591,3853,2317,1282,1397
2019,694,3109,14356,13173,7439,4800,2766,1506,1347,1972
2020,1042,5796,11611,16294,8773,3923,2537,1809,1137,3573
2021,400,2674,8538,19284,12899,8305,3470,2625,728,1442
2022,3398,6754,10196,20382,11199,6249,2929,1199,490,859

prop.dis,1,2,3,4,5,6,7,8,9,10
1984,,,,,,,,,,
1985,,,,,,,,,,
1986,,,,,,,,,,
1987,,,,,,,,,,
1988,,,,,,,,,,
1989,,,,,,,,,,
1990,1.00072,0.76307,0.60188,0.37301,0.24836,0.20273,0.17251,0.05098,0,0
1991,0.92941,0.84371,0.42817,0.33564,0.20662,0.14363,0.08941,0.07047,0,0
1992,0.88468,0.63541,0.35522,0.19418,0.24601,0.19995,0.04578,0.05276,0,0
1993,0.89209,0.86942,0.3819,0.26357,0.24616,0.06557,0.05013,0.10441,0,0
1994,0.98034,0.83481,0.4265,0.25921,0.21187,0.0859,0.07872,0.04176,0,0
1995,0.97092,0.84641,0.43613,0.30659,0.21826,0.12514,0.05166,0.05914,0,0
1996,0.64283,0.62785,0.45411,0.41716,0.28208,0.09098,0.05826,0.11131,0,0
1997,0.98854,0.66736,0.49201,0.40335,0.31208,0.15319,0.04946,0.06908,0,0
1998,0.99513,0.96938,0.71652,0.41562,0.34496,0.18576,0.13597,0.1915,0,0
1999,1,0.94958,0.81138,0.45979,0.2505,0.07365,0.01016,0.00025,0,0
2000,1,0.8077,0.375,0.30986,0.2058,0.13819,0.10148,0.05422,0,0
2001,0.9993,0.97253,0.61821,0.18321,0.07872,0.07511,0.00759,0.00397,0,0
2002,0.98339,0.95609,0.53413,0.33382,0.13535,0.0846,0.02488,0.01542,0,0
2003,0.99942,0.90756,0.54156,0.38789,0.22826,0.09497,0.00859,0.0358,0,0
2004,0.99922,0.8942,0.45671,0.61535,0.41057,0.39257,0.21086,0.02017,0,0
2005,0.98755,0.94262,0.74889,0.21525,0.20668,0.09704,0.16531,0.02442,0,0
