"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
1984,213515.192454026,231065.081461884,248614.970469741,95458.5065331308,101061.490503487,106664.474473843,71758.7318225315,77182.3483413005,82605.9648600696,18828,16659,2169,NA,NA,NA,0.176130896494679,0.194097,0.212063103505321
1985,202043.402683713,218855.741419568,235668.080155423,101979.170305378,107776.470178922,113573.770052466,75668.4371865451,81297.5572685205,86926.6773504959,19597,17865,1732,NA,NA,NA,0.209249102590527,0.22962075,0.249992397409473
1986,194690.734241627,211301.039943991,227911.345646354,103198.997755378,109184.156391097,115169.315026816,79707.5649265931,85653.9822081828,91600.3994897724,21248.309,18927.309,2321,NA,NA,NA,0.199259390984842,0.218384,0.237508609015158
1987,167535.230662409,181816.649281344,196098.067900279,107780.55029489,113664.438576261,119548.326857632,83402.868172543,89265.825480101,95128.7827876589,18819.391,17114.391,1705,NA,NA,NA,0.201500836078601,0.21986475,0.238228663921399
1988,166194.704335946,180340.299192055,194485.894048164,90119.7508242482,94694.8973027916,99270.0437813351,70693.4753163838,75190.0188412494,79686.562366115,19302.34,17577.34,1725,NA,NA,NA,0.228411906609455,0.2488835,0.269355093390545
1989,208870.399320968,226734.412757693,244598.426194419,77647.4858441537,81630.9079066168,85614.3299690799,59789.6539270492,63648.6603107583,67507.6666944673,21814.675,19232.675,2582,NA,NA,NA,0.315754863300478,0.34304125,0.370327636699522
1990,235970.902707022,255886.060679504,275801.218651985,71633.4495688373,75099.4027664697,78565.3559641021,49495.9737613734,52697.2980161691,55898.6222709649,17654.393,14370.393,3284,NA,NA,NA,0.357163802828863,0.3864595,0.415755197171137
1991,267498.834966977,290393.550797047,313288.266627117,72912.9768508049,76212.2009068425,79511.42496288,47506.2945309298,50411.7885619745,53317.2825930192,18376.151,15094.151,3282,NA,NA,NA,0.391715510707309,0.42478575,0.457855989292691
1992,224509.105232834,243321.419066464,262133.732900094,70404.9991559151,73186.0804973283,75967.1618387415,44891.3634908794,47244.4273216814,49597.4911524834,18588.088,15600.088,2988,NA,NA,NA,0.332440907874094,0.36004125,0.387641592125906
1993,192250.555907859,208311.368349765,224372.180791672,70100.6227208088,72687.9833631894,75275.3440055699,47863.0517509467,50094.3608139004,52325.6698768542,18036.99,14928.99,3108,NA,NA,NA,0.338397282942365,0.36709175,0.395786217057635
1994,202365.299565736,218959.762690715,235554.225815694,68381.0050802944,70783.6861361912,73186.3671920881,46366.0929696908,48395.4808425724,50424.8687154541,16384.4635,13684.4635,2700,NA,NA,NA,0.293815637014891,0.3190565,0.344297362985109
1995,228721.462853046,247165.193025588,265608.923198129,74632.540197188,77251.66443957,79870.7886819519,53140.9168407871,55502.4636324013,57864.0104240155,19068.34304,15862.34304,3206,NA,NA,NA,0.300280818339676,0.32574875,0.351216681660324
1996,249270.834491215,269201.410020458,289131.985549702,67667.4126819184,70083.8435127344,72500.2743435505,49248.0280223738,51475.859741508,53703.6914606422,18134.97286,15108.97286,3026,NA,NA,NA,0.327605038053972,0.35492575,0.382246461946028
1997,226015.509806676,244209.359676193,262403.20954571,77263.4839649608,79906.4715347459,82549.459104531,50806.7474616588,53051.2800055791,55295.8125494993,17296.0974978302,14230.0974978302,3066,NA,NA,NA,0.275412997589233,0.29912525,0.322837502410767
1998,250760.883891625,270215.930731221,289670.977570818,80436.0980371489,83205.2274160245,85974.3567949001,54048.8911802689,56327.3636703187,58605.8361603685,19715.75706,14344.69106,5371.066,NA,NA,NA,0.306948684457762,0.332432,0.357915315542238
1999,246369.788957145,265291.21284,284212.636722855,69595.3002587846,72038.4047203039,74481.5091818232,46845.4901083234,48859.8946611854,50874.2992140474,16601.4819663742,13304.63265,3296.8493163742,NA,NA,NA,0.329462773392448,0.356409,0.383355226607552
2000,274838.224005843,295696.12908888,316554.034171917,73344.3076592411,75984.9040021942,78625.5003451474,46589.2449283572,48575.7831720841,50562.321415811,16901.4999278175,15031.473513,1870.02641481748,NA,NA,NA,0.346264890790697,0.37409925,0.401933609209303
2001,231330.489270527,248355.17130214,265379.853333753,78619.6041945427,81495.4478856455,84371.2915767482,46896.6379949637,48895.4408897865,50894.2437846092,18039.6032268346,15777.9906473477,2261.61257948695,NA,NA,NA,0.40936104322223,0.44172675,0.47409245677777
2002,247201.358415725,265348.236548882,283495.114682038,70726.7047732009,73435.9396344873,76145.1744957738,43359.2256064876,45321.7891302302,47284.3526539728,18800.3899614624,15987.1720397745,2813.21792168789,NA,NA,NA,0.442752444842817,0.474943,0.507133555157183
2003,230411.466339559,246726.549111113,263041.631882668,64860.1946311814,67207.6073966801,69555.0201621787,40877.0737896846,42613.8835052661,44350.6932208475,19719.3020121905,15711.16456,4008.13745219045,NA,NA,NA,0.437133183329699,0.46812425,0.499115316670301
2004,189798.65226325,203134.11689064,216469.581518029,57771.2735989098,59770.7514625262,61770.2293261426,35987.2615387932,37421.0866559305,38854.9117730678,20601.5488683868,14358.3034264738,6243.24544191302,NA,NA,NA,0.425703687162368,0.45657525,0.487446812837632
2005,197521.351172085,211246.522771763,224971.694371442,53417.5756408422,55194.068053102,56970.5604653618,34401.6523700299,35743.4437405424,37085.2351110548,16163.0057175947,12887.9618908443,3275.04382675041,NA,NA,NA,0.446604858094192,0.4779475,0.509290141905808
2006,239346.200216085,255921.152192662,272496.104169238,54525.2408466256,56297.7987783294,58070.3567100333,33536.6127536893,34832.4794432433,36128.3461327974,15787.7114906052,12037.187379,3750.52411160523,NA,NA,NA,0.394281265543288,0.423482,0.452682734456712
2007,227888.361021324,243909.20191186,259930.042802395,58563.1127227827,60427.4081701434,62291.7036175041,34578.2801834595,35904.7481821891,37231.2161809187,16092.4306467375,13059.8172588164,3032.61338792114,NA,NA,NA,0.428791768075643,0.4589605,0.489129231924357
2008,164787.966965657,176308.534983871,187829.103002085,60464.143303889,62375.2626313211,64286.3819587531,35972.1667266638,37278.0621268862,38583.9575271087,13908.2739746671,11048.134813,2860.13916166712,NA,NA,NA,0.309005836564485,0.33267275,0.356339663435515
2009,192594.318487638,206289.219904038,219984.121320438,72249.1844351728,74553.4072897219,76857.630144271,44461.0631381542,46101.2782001762,47741.4932621983,18341.5394679307,15063.55158,3277.98788793066,NA,NA,NA,0.317454805873635,0.34139275,0.365330694126365
2010,201648.383110604,215943.772461621,230239.161812638,65138.1280973796,67294.8343458714,69451.5405943633,47056.3572847552,48884.9244712572,50713.4916577592,20444.0882169955,15101.0948831054,5342.99333389013,NA,NA,NA,0.399962462264078,0.4286655,0.457368537735922
