"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
1984,213585.644988363,231065.081461884,248544.517935404,95442.9471184612,101061.490503487,106680.033888513,71744.4507311075,77182.3483413005,82620.2459514936,18828,16659,2169,NA,NA,NA,0.17601155446695,0.194097,0.21218244553305
1985,202050.617448183,218855.741419568,235660.865390953,101961.037371862,107776.470178922,113591.902985982,75651.8780042547,81297.5572685205,86943.2365327864,19597,17865,1732,NA,NA,NA,0.209257319250538,0.22962075,0.249984180749462
1986,194662.174995661,211301.039943991,227939.90489232,103176.220727475,109184.156391097,115192.092054719,79687.0206917034,85653.9822081828,91620.9437246621,21248.309,18927.309,2321,NA,NA,NA,0.199310544567856,0.218384,0.237457455432144
1987,167578.650869834,181816.649281344,196054.647692853,107757.001541162,113664.438576261,119571.87561136,83379.4322694125,89265.825480101,95152.2186907894,18819.391,17114.391,1705,NA,NA,NA,0.201564329230933,0.21986475,0.238165170769067
1988,166187.298240366,180340.299192055,194493.300143744,90107.0847241069,94694.8973027916,99282.7098814764,70677.6153247528,75190.0188412494,79702.422357746,19302.34,17577.34,1725,NA,NA,NA,0.228422793484081,0.2488835,0.269344206515919
1989,208905.639184683,226734.412757693,244563.186330704,77631.3772562652,81630.9079066168,85630.4385569685,59771.003146131,63648.6603107583,67526.3174753855,21814.675,19232.675,2582,NA,NA,NA,0.315688277572461,0.34304125,0.370394222427539
1990,235823.489931835,255886.060679504,275948.631427173,71616.0754793536,75099.4027664697,78582.7300535858,49479.2058917675,52697.2980161691,55915.3901405708,17654.393,14370.393,3284,NA,NA,NA,0.357341003441324,0.3864595,0.415577996558676
1991,267611.632302032,290393.550797047,313175.469292063,72906.9218862369,76212.2009068425,79517.4799274481,47496.0711799343,50411.7885619745,53327.5059440148,18376.151,15094.151,3282,NA,NA,NA,0.39168381870405,0.42478575,0.45788768129595
1992,224591.774859962,243321.419066464,262051.063272966,70415.7326705288,73186.0804973283,75956.4283241278,44897.6367875866,47244.4273216814,49591.2178557763,18588.088,15600.088,2988,NA,NA,NA,0.332238712037013,0.36004125,0.387843787962987
1993,192269.159898027,208311.368349765,224353.576801504,70103.1927546425,72687.9833631894,75272.7739717363,47864.3163193361,50094.3608139004,52324.4053084648,18036.99,14928.99,3108,NA,NA,NA,0.338550985326566,0.36709175,0.395632514673434
1994,202313.237805821,218959.762690715,235606.28757561,68384.2466467775,70783.6861361912,73183.125625605,46374.2788160232,48395.4808425724,50416.6828691217,16384.4635,13684.4635,2700,NA,NA,NA,0.294116140084997,0.3190565,0.343996859915003
1995,228619.060316559,247165.193025588,265711.325734616,74635.1048599482,77251.66443957,79868.2240191917,53147.2857736,55502.4636324013,57857.6414912026,19068.34304,15862.34304,3206,NA,NA,NA,0.300236003611943,0.32574875,0.351261496388056
1996,249183.883644985,269201.410020458,289218.936395931,67666.9184613325,70083.8435127344,72500.7685641363,49248.8917358377,51475.859741508,53702.8277471784,18134.97286,15108.97286,3026,NA,NA,NA,0.327553549187598,0.35492575,0.382297950812402
1997,225998.599846218,244209.359676193,262420.119506169,77260.0378605323,79906.4715347459,82552.9052089594,50809.8904070267,53051.2800055791,55292.6696041315,17296.0974978302,14230.0974978302,3066,NA,NA,NA,0.2754866316861,0.29912525,0.3227638683139
