"Year","Lan","Dis","Cat","CatEst","Tsb","Ssb","SsbCv","Recr","RecrCv","Fbar","FbarCv"
"1984",16659,2169,18828,16566.0158315142,101061.490503487,77182.3483413005,0.0704551976851842,231065.081461884,0.0756472434646252,0.194097,0.0931773573679667
"1985",17865,1732,19597,20399.9898949837,107776.470178922,81297.5572685205,0.0694446359023871,218855.741419568,0.076786306186813,0.22962075,0.0886828857995726
"1986",18927.309,2321,21248.309,20596.874635256,109184.156391097,85653.9822081828,0.0696635621911492,211301.039943991,0.0787448322674608,0.218384,0.0873390698592556
"1987",17114.391,1705,18819.391,21513.2953275047,113664.438576261,89265.825480101,0.065942292910299,181816.649281344,0.0783096513316403,0.21986475,0.0832349013157711
"1988",17577.34,1725,19302.34,20040.5376704224,94694.8973027916,75190.0188412494,0.0600133313707998,180340.299192055,0.0784794137255855,0.2488835,0.0822099758156682
"1989",19232.675,2582,21814.675,22247.7164656408,81630.9079066168,63648.6603107583,0.0609228402561021,226734.412757693,0.0786328522263789,0.34304125,0.079736685974468
"1990",14370.393,3284,17654.393,20545.316380218,75099.4027664697,52697.2980161691,0.0610674976810806,255886.060679504,0.0784043128195136,0.3864595,0.0753468256277206
"1991",15094.151,3282,18376.151,21356.3501693963,76212.2009068425,50411.7885619745,0.0578380070458277,290393.550797047,0.0784518748177618,0.42478575,0.077926181130016
"1992",15600.088,2988,18588.088,17371.2247274483,73186.0804973283,47244.4273216814,0.0496733830239036,243321.419066464,0.0769749094771884,0.36004125,0.0772204239458303
"1993",14928.99,3108,18036.99,18112.5457427919,72687.9833631894,50094.3608139004,0.044516876916524,208311.368349765,0.0770107199564968,0.36709175,0.0777483140752531
"1994",13684.4635,2700,16384.4635,15381.3324933161,70783.6861361912,48395.4808425724,0.0417642720220941,218959.762690715,0.0760254974719168,0.3190565,0.078169101444423
"1995",15862.34304,3206,19068.34304,17928.5710526086,77251.66443957,55502.4636324013,0.0424337534708349,247165.193025588,0.075035374042772,0.32574875,0.0783203201487543
"1996",15108.97286,3026,18134.97286,17976.5977681619,70083.8435127344,51475.859741508,0.0432623761284091,269201.410020458,0.0743589209802126,0.35492575,0.077120921241701
"1997",14230.0974978302,3066,17296.0974978302,16499.4126742581,79906.4715347459,53051.2800055791,0.0422494914037264,244209.359676193,0.0745702779538091,0.29912525,0.0790258205012769
"1998",14344.69106,5371.066,19715.75706,18826.8449226502,83205.2274160245,56327.3636703187,0.0404375445016972,270215.930731221,0.0722098584129482,0.332432,0.0771068026890582
"1999",13304.63265,3296.8493163742,16601.4819663742,17222.6093171806,72038.4047203039,48859.8946611854,0.041327579585862,265291.21284,0.071931549409554,0.356409,0.0763084741209942
"2000",15031.473513,1870.02641481748,16901.4999278175,18247.3328544212,75984.9040021942,48575.7831720841,0.0410596683872094,295696.12908888,0.0705564958191828,0.37409925,0.0748865777128257
"2001",15777.9906473477,2261.61257948695,18039.6032268346,20868.4690231838,81495.4478856455,48895.4408897865,0.0411613591046863,248355.17130214,0.0681457039488209,0.44172675,0.0729454240812244
"2002",15987.1720397745,2813.21792168789,18800.3899614624,20564.9493112356,73435.9396344873,45321.7891302302,0.0433920724959561,265348.236548882,0.0686390456729895,0.474943,0.0676337801956377
"2003",15711.16456,4008.13745219045,19719.3020121905,18844.986544492,67207.6073966801,42613.8835052661,0.0407615509781109,246726.549111113,0.0667576181154411,0.46812425,0.0661911438747593
"2004",14358.3034264738,6243.24544191302,20601.5488683868,16307.7017835942,59770.7514625262,37421.0866559305,0.0381322346856071,203134.11689064,0.0657907126090054,0.45657525,0.0678637488415755
"2005",12887.9618908443,3275.04382675041,16163.0057175947,15774.5006616761,55194.068053102,35743.4437405424,0.0374600092873113,211246.522771763,0.0651105719284818,0.4779475,0.0655318343505075
"2006",12037.187379,3750.52411160523,15787.7114906052,14328.6279045915,56297.7987783294,34832.4794432433,0.0372012612522289,255921.152192662,0.0650242831432114,0.423482,0.0687600505071665
"2007",13059.8172588164,3032.61338792114,16092.4306467375,15837.8271661141,60427.4081701434,35904.7481821891,0.0367750502513659,243909.20191186,0.0653704436107225,0.4589605,0.0654922554156692
"2008",11048.134813,2860.13916166712,13908.2739746671,12684.4417199526,62375.2626313211,37278.0621268862,0.0349864698245714,176308.534983871,0.0655098625465173,0.33267275,0.0713126314912108
"2009",15063.55158,3277.98788793066,18341.5394679307,15664.0391269895,74553.4072897219,46101.2782001762,0.0355830487987293,206289.219904038,0.0662742616238837,0.34139275,0.0702049184488826
"2010",15101.0948831054,5342.99333389013,20444.0882169955,19325.7999061985,67294.8343458714,48884.9244712572,0.0374284893496875,215943.772461621,0.0660802181863186,0.4286655,0.0666209962665959
"2011",13226.0636371546,4186.67244319296,17412.7360803476,14642.6922049874,57227.4818771677,39441.7351198104,0.0366849643845624,182268.452513252,0.0667133389591982,0.38397775,0.0693693512540402
"2012",14433.3430456614,3703.69184193662,18137.034887598,15264.2115683016,55121.94687865,40872.7780425342,0.0373241870695638,143395.828812524,0.0646556891133768,0.39118175,0.0701905812017009
"2013",16024.5453954206,4885.23109616522,20909.7764915858,18690.4902898785,60155.2815378525,42290.5864928105,0.038415008722708,147055.998961732,0.0655041097842363,0.48468775,0.0650920150670451
"2014",13277.369,2568.79315949287,15846.1621594929,15979.325783737,65386.5729183606,47062.1138203419,0.0367893722580172,134691.25364686,0.0664411527268937,0.350389,0.0706314216007408
"2015",10682.34385,2393.37983,13075.72368,12080.4381073974,57164.4743258643,39432.5867761218,0.0364871797532789,150045.043921794,0.0707042394786151,0.2987005,0.0760945056845756
"2016",11547.78002,3315.14197,14862.92199,14874.3171258364,65398.4241683102,43675.993818741,0.0374431280805977,181658.737472133,0.0746655455893685,0.33764675,0.0718007094047668
"2017",13784.43807,3518.24391,17302.68198,15466.1346312488,68736.2760433035,39809.8414270628,0.0380235181025701,226286.369330766,0.0859287059198909,0.38380775,0.0729254640871613
"2018",12147.16253,3414.8916,15562.05413,16573.3233098052,101195.171321765,49919.1689921627,0.0403330670882531,246877.567944525,0.100761006679155,0.312565,0.0758505958157202
"2019",12163.64628,1966.00335,14129.64963,14908.993704554,114812.74655008,54743.8468832799,0.0454185650640384,260206.703237077,0.125224584426171,0.25065,0.083288035536353
"2020",11141.01419,2484.86966005605,13625.883850056,14293.5067626363,113744.476283162,64562.0248602338,0.0544059022998236,192651.153968863,0.164149899445958,0.20756975,0.0910348426737038
"2021",12417.52322,2602.85435,15020.37757,17253.1977057738,114433.192853368,72086.1471980598,0.0635005256186797,213694.155814531,0.219975874072674,0.22865825,0.103226953416907
"2022",10820.744,2339.8,13160.544,13981.3322543114,128166.003359512,86223.6518475665,0.0785456747953753,140646.784737096,0.346624647165873,0.149564075,0.11536201868924
"2023*",NA,NA,NA,NA,NA,NA,NA,217.477,NA,0.195264025,NA
